city,timezone
Абиджан,UTC+0
Адак,UTC-10
Аддис-абеба,UTC+3
Аделаида,UTC+9:30
Аден,UTC+3
Азорские острова,UTC-1
Аккра,UTC+0
Актау,UTC+5
Актобе,UTC+5
Алжир,UTC+1
Алматы,UTC+6
Амман,UTC+3
Амстердам,UTC+1
Анадырь,UTC+12
Ангарск,UTC+8
Ангилья,UTC-4
Андорра,UTC+1
Анкоридж,UTC-9
Антананариву,UTC+3
Антигуа,UTC-4
Апиа,UTC+13
Арагуайна,UTC-3
Аруба,UTC-4
Архангельск,UTC+3
Асмэра,UTC+3
Астрахань,UTC+4
Асунсьон,UTC-4
Атикокан,UTC-5
Атырау,UTC+5
Афины,UTC+2
Ашхабад,UTC+5
Багдад,UTC+3
Баия,UTC-3
Баия бандерас,UTC-6
Баку,UTC+4
Бамако,UTC+0
Банги,UTC+1
Бангкок,UTC+7
Банжул,UTC+0
Барбадос,UTC-4
Барнаул,UTC+7
Бахрейн,UTC+3
Бейрут,UTC+2
Белая лошадь,UTC-7
Белгород,UTC+3
Белград,UTC+1
Белен,UTC-3
Белиз,UTC-6
Берлин,UTC+1
Бермуды,UTC-4
Беула,UTC-6
Бийск,UTC+7
Бисау,UTC+0
Бишкек,UTC+6
Благовещенск,UTC+9
Блан-саблон,UTC-4
Блантайр,UTC+2
Боа-виста,UTC-4
Богота,UTC-5
Бойсе,UTC-7
Браззавиль,UTC+1
Братислава,UTC+1
Братск,UTC+8
Брисбен,UTC+10
Брокен хилл,UTC+9:30
Бруней,UTC+8
Брюссель,UTC+1
Брянск,UTC+3
Бугенвиль,UTC+11
Будапешт,UTC+1
Будить,UTC+12
Бужумбура,UTC+2
Бузинген,UTC+1
Бухарест,UTC+2
Буэнос-Айрес,UTC-3
Вадуц,UTC+1
Ванкувер,UTC-8
Варшава,UTC+1
Ватикан,UTC+1
Вева,UTC-5
Великий Новгород,UTC+3
Вена,UTC+1
Венсен,UTC-5
Вильнюс,UTC+2
Винамак,UTC-5
Виндхук,UTC+1
Виннипег,UTC-6
Владивосток,UTC+10
Владикавказ,UTC+3
Владимир,UTC+3
Волгоград,UTC+3
Вологда,UTC+3
Воронеж,UTC+3
Восток,UTC+6
Вьентьян,UTC+7
Вьетнам,UTC+7
Габороне,UTC+2
Гавана,UTC-5
Газа,UTC+2
Гайана,UTC-4
Галапагосские острова,UTC-6
Галифакс,UTC-4
Гамбье,UTC-9
Гваделупа,UTC-4
Гватемала,UTC-6
Гернси,UTC+0
Гибралтар,UTC+1
Гонконг,UTC+8
Гонолулу,UTC-10
Гренада,UTC-4
Грозный,UTC+3
Гуадалканал,UTC+11
Гуам,UTC+10
Гуаякиль,UTC-5
Гусиная бухта,UTC-4
Дакар,UTC+0
Дакка,UTC+6
Дамаск,UTC+3
Данмарксхавн,UTC+0
Дар-эс-салам,UTC+3
Дарвин,UTC+9:30
Денвер,UTC-7
Детройт,UTC-5
Джакарта,UTC+7
Джаяпура,UTC+9
Джерси,UTC+0
Джибути,UTC+3
Джуба,UTC+2
Джуно,UTC-9
Дзержинск,UTC+3
Дили,UTC+9
Доминика,UTC-4
Доусон,UTC-7
Доусон крик,UTC-7
Дуала,UTC+1
Дубай,UTC+4
Дублин,UTC+0
Душанбе,UTC+5
Дэвис,UTC+7
Дюмондюрвиль,UTC+10
Евкла,UTC+8:45
Екатеринбург,UTC+5
Ереван,UTC+4
Жужуй,UTC-3
Загреб,UTC+1
Иваново,UTC+3
Иерусалим,UTC+2
Ижевск,UTC+4
Икалуит,UTC-5
Индианаполис,UTC-5
Индия,UTC+5:30
Инувик,UTC-7
Иркутск,UTC+8
Йеллоунайф,UTC-7
Йоханнесбург,UTC+2
Йошкар-Ола,UTC+3
Кабо-верде,UTC-1
Кабул,UTC+4:30
Казань,UTC+3
Каир,UTC+2
Кайенна,UTC-3
Кайман,UTC-5
Калининград,UTC+2
Калуга,UTC+3
Калькутта,UTC+5:30
Кампала,UTC+3
Кампу-Гранди,UTC-4
Камчатка,UTC+12
Канарейка,UTC+0
Канкун,UTC-5
Кантон,UTC+13
Каракас,UTC-4
Карачи,UTC+5
Касабланка,UTC+0
Катамарка,UTC-3
Катар,UTC+3
Катманду,UTC+5:45
Кваджалейн,UTC+12
Кейси,UTC+11
Кембридж бэй,UTC-7
Кемерово,UTC+7
Кергелен,UTC+5
Кигали,UTC+2
Киев,UTC+2
Киншаса,UTC+1
Киритимати,UTC+14
Киров,UTC+3
Китай,UTC+8
Кишинев,UTC+2
Кокосы,UTC+6:30
Коломбо,UTC+5:30
Коморо,UTC+3
Комсомольск-на-Амуре,UTC+10
Конакри,UTC+0
Копенгаген,UTC+1
Кордова,UTC-3
Косрае,UTC+11
Коста-рика,UTC-6
Костанай,UTC+6
Кострома,UTC+3
Кралендейк,UTC-4
Краснодар,UTC+3
Красноярск,UTC+7
Крестон,UTC-7
Куала-лумпур,UTC+8
Кувейт,UTC+3
Курган,UTC+5
Курск,UTC+3
Кучинг,UTC+8
Куяба,UTC-4
Кызылорда,UTC+5
Кюрасао,UTC-4
Ла-пас,UTC-4
Ла-риоха,UTC-3
Лагос,UTC+1
Либревиль,UTC+1
Лима,UTC-5
Линдеман,UTC+10
Липецк,UTC+3
Лиссабон,UTC+0
Ломе,UTC+0
Лонгйир,UTC+1
Лондон,UTC+0
Лорд хоу,UTC+10:30
Лос-Анджелес,UTC-8
Луанда,UTC+1
Лубумбаши,UTC+2
Луисвилл,UTC-5
Лусака,UTC+2
Любляна,UTC+1
Люксембург,UTC+1
Маврикий,UTC+4
Магадан,UTC+11
Магнитогорск,UTC+5
Мадейра,UTC+0
Маджуро,UTC+12
Мадрид,UTC+1
Майотта,UTC+3
Макао,UTC+8
Макассар,UTC+8
Маккуори,UTC+10
Макмердо,UTC+12
Малабо,UTC+1
Мальдивы,UTC+5
Мальта,UTC+1
Манагуа,UTC-6
Манаус,UTC-4
Манила,UTC+8
Мапуту,UTC+2
Маренго,UTC-5
Мариго,UTC-4
Мариехамн,UTC+2
Маркизские острова,UTC-9:30
Мартиника,UTC-4
Масатлан,UTC-7
Масейо,UTC-3
Масеру,UTC+2
Матаморос,UTC-6
Махачкала,UTC+3
Маэ,UTC+4
Мбабане,UTC+2
Мельбурн,UTC+10
Мендоса,UTC-3
Меномини,UTC-6
Мерида,UTC-6
Метлакатла,UTC-9
Мехико,UTC-6
Мидуэй,UTC-11
Микелон,UTC-3
Минеральные Воды,UTC+3
Минск,UTC+3
Могадишо,UTC+3
Монако,UTC+1
Монктон,UTC-4
Монровия,UTC+0
Монтевидео,UTC-3
Монтеррей,UTC-6
Монтиселло,UTC-5
Монтсеррат,UTC-4
Москва,UTC+3
Моусон,UTC+5
Мурманск,UTC+3
Мускат,UTC+4
Набережные Челны,UTC+3
Найроби,UTC+3
Нальчик,UTC+3
Нассау,UTC-5
Науру,UTC+12
Нджамена,UTC+1
Ниамей,UTC+1
Нижневартовск,UTC+5
Нижнекамск,UTC+3
Нижние князья,UTC-4
Нижний Новгород,UTC+3
Нижний Тагил,UTC+5
Никосия,UTC+2
Ниуэ,UTC-11
Новокузнецк,UTC+7
Новороссийск,UTC+3
Новосибирск,UTC+7
Нокс,UTC-6
Ном,UTC-9
Норильск,UTC+7
Норонья,UTC-2
Норфолк,UTC+11
Нуакшот,UTC+0
Нумеа,UTC+11
Нуук,UTC-3
Нью салем,UTC-6
Нью-йорк,UTC-5
Окленд,UTC+12
Омск,UTC+6
Оральный,UTC+5
Оренбург,UTC+5
Орск,UTC+5
Орёл,UTC+3
Осло,UTC+1
Остров мэн,UTC+0
Охинага,UTC-6
Паго-паго,UTC-11
Палау,UTC+9
Палмер,UTC-3
Панама,UTC-5
Парамарибо,UTC-3
Париж,UTC+1
Пасха,UTC-6
Пенза,UTC+3
Пермь,UTC+5
Перт,UTC+8
Петербург,UTC-5
Петрозаводск,UTC+3
Петропавловск-Камчатский,UTC+12
Питкэрн,UTC-8
Пномпень,UTC+7
Подгорица,UTC+1
Понпеи,UTC+11
Понтианак,UTC+7
Порт-морсби,UTC+10
Порт-о-пренс,UTC-5
Порт-оф-спейн,UTC-4
Порто-ново,UTC+1
Порту-велью,UTC-4
Прага,UTC+1
Прокопьевск,UTC+7
Псков,UTC+3
Пунта-аренас,UTC-3
Пуэрто-рико,UTC-4
Пхеньян,UTC+9
Пхукет,UTC+7
Ранкин инлет,UTC-6
Раротонга,UTC-10
Регина,UTC-6
Рейкьявик,UTC+0
Ресифи,UTC-3
Решительный,UTC-6
Рига,UTC+2
Рим,UTC+1
Рио-бранко,UTC-5
Рио-гальегос,UTC-3
Рождество,UTC+7
Ростов-на-Дону,UTC+3
Ротера,UTC-3
Рязань,UTC+3
Сайпан,UTC+10
Сальвадор,UTC-6
Сальта,UTC-3
Самара,UTC+4
Самарканд,UTC+5
Сан-луис,UTC-3
Сан-марино,UTC+1
Сан-паулу,UTC-3
Сан-томе,UTC+0
Сан-хуан,UTC-3
Санкт-Петербург,UTC+3
Сантарен,UTC-3
Санто-доминго,UTC-4
Сантьяго,UTC-4
Сараево,UTC+1
Саранск,UTC+3
Саратов,UTC+4
Сахалин,UTC+11
Святая елена,UTC+0
Севастополь,UTC+3
Сен-бартельми,UTC-4
Сент-винсент,UTC-4
Сент-джонс,UTC-3:30
Сент-китс,UTC-4
Сент-люсия,UTC-4
Сент-томас,UTC-4
Сеул,UTC+9
Сеута,UTC+1
Сидней,UTC+10
Симферопль,UTC+3
Симферополь,UTC+3
Сингапур,UTC+8
Ситка,UTC-9
Скажи город,UTC-6
Скопье,UTC+1
Скорсбисунд,UTC-1
Смоленск,UTC+3
София,UTC+2
Сочи,UTC+3
Среднеколымск,UTC+11
Ставрополь,UTC+3
Стамбул,UTC+3
Старый Оскол,UTC+3
Стерлитамак,UTC+5
Стокгольм,UTC+1
Стэнли,UTC-3
Сургут,UTC+5
Сыктывкар,UTC+3
Сьюдад-хуарес,UTC-7
Сёва,UTC+3
Таганрог,UTC+3
Таити,UTC-10
Тайбэй,UTC+8
Тайланд,UTC+7
Таллинн,UTC+2
Тамбов,UTC+3
Тарава,UTC+12
Ташкент,UTC+5
Тбилиси,UTC+4
Тверь,UTC+3
Тегеран,UTC+3:30
Тегусигальпа,UTC-6
Тиран,UTC+1
Тихуана,UTC-8
Токио,UTC+9
Тольятти,UTC+4
Томск,UTC+7
Тонгатапу,UTC+13
Торонто,UTC-5
Тортола,UTC-4
Триполи,UTC+2
Тролль,UTC+0
Тукуман,UTC-3
Тула,UTC+3
Туле,UTC-4
Тунис,UTC+1
Турция,UTC+3
Тхимпху,UTC+6
Тюмень,UTC+5
Уагадугу,UTC+0
Улан-Удэ,UTC+8
Улан-батор,UTC+8
Ульяновск,UTC+4
Уоллис,UTC+12
Урумчи,UTC+6
Усть-нера,UTC+10
Уфа,UTC+5
Ушуая,UTC-3
Факаофо,UTC+13
Фамагуста,UTC+2
Фарерские острова,UTC+0
Феникс,UTC-7
Фиджи,UTC+12
Форт нельсон,UTC-7
Форталеза,UTC-3
Фритаун,UTC+0
Фунафути,UTC+12
Хабаровск,UTC+10
Хандыга,UTC+9
Хараре,UTC+2
Хартум,UTC+2
Хеврон,UTC+2
Хельсинки,UTC+2
Хо ши мин,UTC+7
Хобарт,UTC+10
Ховд,UTC+7
Центр,UTC-6
Цюрих,UTC+1
Чагос,UTC+6
Чатем,UTC+12:45
Чебоксары,UTC+3
Челябинск,UTC+5
Череповец,UTC+3
Чикаго,UTC-6
Чита,UTC+9
Чихуахуа,UTC-6
Чойбалсан,UTC+8
Чуук,UTC+10
Шанхай,UTC+8
Шахты,UTC+3
Шри-Ланка,UTC+5:30
Эдмонтон,UTC-7
Эйрунепе,UTC-5
Эль-аюн,UTC+0
Эр-рияд,UTC+3
Эрмосильо,UTC-7
Эфате,UTC+11
Южная георгия,UTC-2
Якутат,UTC-9
Якутск,UTC+9
Ямайка,UTC-5
Янгон,UTC+6:30
Ярославль,UTC+3
